assignment_id,student_id,subject_id,total_assignments,submitted,average_score
1,STU0001,CS101,6,5,71.51
2,STU0625,CS101,6,5,72.72
3,STU0505,CS101,6,5,74.75
4,STU0953,CS101,6,5,82.93
5,STU0617,CS101,6,5,60.28
6,STU0513,CS101,6,5,60.48
7,STU0065,CS101,6,5,68.52
8,STU0521,CS101,6,5,74.31
9,STU0609,CS101,6,5,78.26
10,STU0529,CS101,6,5,78.70
11,STU0601,CS101,6,5,80.01
12,STU0537,CS101,6,5,72.00
13,STU0593,CS101,6,5,60.99
14,STU0545,CS101,6,5,72.15
15,STU0553,CS101,6,5,70.77
16,STU0585,CS101,6,5,79.79
17,STU0561,CS101,6,5,63.45
18,STU0577,CS101,6,5,68.23
19,STU0569,CS101,6,5,69.44
20,STU0073,CS101,6,5,83.08
21,STU0945,CS101,6,5,64.84
22,STU0081,CS101,6,5,74.85
23,STU0937,CS101,6,5,64.54
24,STU0089,CS101,6,5,76.21
25,STU0929,CS101,6,5,75.02
26,STU0097,CS101,6,5,61.35
27,STU0993,CS101,6,5,65.58
28,STU0105,CS101,6,5,74.96
29,STU0921,CS101,6,5,65.81
30,STU0113,CS101,6,5,58.34
31,STU0913,CS101,6,5,65.16
32,STU0121,CS101,6,5,70.70
33,STU0017,CS101,6,5,72.35
34,STU0905,CS101,6,5,73.81
35,STU0129,CS101,6,5,65.92
36,STU0137,CS101,6,5,60.30
37,STU0897,CS101,6,5,77.29
38,STU0145,CS101,6,5,61.20
39,STU0889,CS101,6,5,68.32
40,STU0153,CS101,6,5,71.65
41,STU0881,CS101,6,5,78.85
42,STU0161,CS101,6,5,72.82
43,STU0169,CS101,6,5,61.42
44,STU0985,CS101,6,5,73.90
45,STU0873,CS101,6,5,64.77
46,STU0177,CS101,6,5,62.04
47,STU0865,CS101,6,5,81.96
48,STU0185,CS101,6,5,61.46
49,STU0025,CS101,6,5,70.32
50,STU0857,CS101,6,5,69.44
51,STU0193,CS101,6,5,74.20
52,STU0201,CS101,6,5,74.90
53,STU0849,CS101,6,5,71.74
54,STU0209,CS101,6,5,62.17
55,STU0841,CS101,6,5,65.27
56,STU0217,CS101,6,5,64.08
57,STU0833,CS101,6,5,58.59
58,STU0225,CS101,6,5,65.91
59,STU0233,CS101,6,5,78.34
60,STU0825,CS101,6,5,72.64
61,STU0241,CS101,6,5,62.74
62,STU0977,CS101,6,5,60.06
63,STU0817,CS101,6,5,66.41
64,STU0249,CS101,6,5,61.72
65,STU0033,CS101,6,5,58.88
66,STU0809,CS101,6,5,60.38
67,STU0257,CS101,6,5,73.55
68,STU0265,CS101,6,5,74.32
69,STU0801,CS101,6,5,80.76
70,STU0273,CS101,6,5,72.06
71,STU0793,CS101,6,5,76.45
72,STU0281,CS101,6,5,82.35
73,STU0785,CS101,6,5,79.34
74,STU0289,CS101,6,5,59.21
75,STU0297,CS101,6,5,74.74
76,STU0777,CS101,6,5,82.58
77,STU0305,CS101,6,5,71.63
78,STU0769,CS101,6,5,68.50
79,STU0313,CS101,6,5,68.57
80,STU0041,CS101,6,5,58.77
81,STU0761,CS101,6,5,77.41
82,STU0321,CS101,6,5,76.16
83,STU0329,CS101,6,5,69.90
84,STU0753,CS101,6,5,62.58
85,STU0337,CS101,6,5,76.66
86,STU0745,CS101,6,5,61.17
87,STU0345,CS101,6,5,78.41
88,STU0737,CS101,6,5,67.74
89,STU0353,CS101,6,5,77.02
90,STU0969,CS101,6,5,82.67
91,STU0361,CS101,6,5,80.93
92,STU0729,CS101,6,5,71.26
93,STU0369,CS101,6,5,82.18
94,STU0721,CS101,6,5,58.41
95,STU0377,CS101,6,5,59.57
96,STU0049,CS101,6,5,66.16
97,STU0713,CS101,6,5,60.68
98,STU0385,CS101,6,5,59.30
99,STU0393,CS101,6,5,69.42
100,STU0705,CS101,6,5,69.95
101,STU0401,CS101,6,5,65.94
102,STU0697,CS101,6,5,73.06
103,STU0409,CS101,6,5,62.30
104,STU0689,CS101,6,5,68.86
105,STU0417,CS101,6,5,67.59
