attendance_id,student_id,subject_id,total_classes,classes_attended,attendance_percentage
1,STU0001,CS101,60,47,78.33
2,STU0625,CS101,60,47,78.33
3,STU0505,CS101,60,47,78.33
4,STU0953,CS101,60,47,78.33
5,STU0617,CS101,60,47,78.33
6,STU0513,CS101,60,47,78.33
7,STU0065,CS101,60,47,78.33
8,STU0521,CS101,60,47,78.33
9,STU0609,CS101,60,47,78.33
10,STU0529,CS101,60,47,78.33
11,STU0601,CS101,60,47,78.33
12,STU0537,CS101,60,47,78.33
13,STU0593,CS101,60,47,78.33
14,STU0545,CS101,60,47,78.33
15,STU0553,CS101,60,47,78.33
16,STU0585,CS101,60,47,78.33
17,STU0561,CS101,60,47,78.33
18,STU0577,CS101,60,47,78.33
19,STU0569,CS101,60,47,78.33
20,STU0073,CS101,60,47,78.33
21,STU0945,CS101,60,47,78.33
22,STU0081,CS101,60,47,78.33
23,STU0937,CS101,60,47,78.33
24,STU0089,CS101,60,47,78.33
25,STU0929,CS101,60,47,78.33
26,STU0097,CS101,60,47,78.33
27,STU0993,CS101,60,47,78.33
28,STU0105,CS101,60,47,78.33
29,STU0921,CS101,60,47,78.33
30,STU0113,CS101,60,47,78.33
31,STU0913,CS101,60,47,78.33
32,STU0121,CS101,60,47,78.33
33,STU0017,CS101,60,47,78.33
34,STU0905,CS101,60,47,78.33
35,STU0129,CS101,60,47,78.33
36,STU0137,CS101,60,47,78.33
37,STU0897,CS101,60,47,78.33
38,STU0145,CS101,60,47,78.33
39,STU0889,CS101,60,47,78.33
40,STU0153,CS101,60,47,78.33
41,STU0881,CS101,60,47,78.33
42,STU0161,CS101,60,47,78.33
43,STU0169,CS101,60,47,78.33
44,STU0985,CS101,60,47,78.33
45,STU0873,CS101,60,47,78.33
46,STU0177,CS101,60,47,78.33
47,STU0865,CS101,60,47,78.33
48,STU0185,CS101,60,47,78.33
49,STU0025,CS101,60,47,78.33
50,STU0857,CS101,60,47,78.33
51,STU0193,CS101,60,47,78.33
52,STU0201,CS101,60,47,78.33
53,STU0849,CS101,60,47,78.33
54,STU0209,CS101,60,47,78.33
55,STU0841,CS101,60,47,78.33
56,STU0217,CS101,60,47,78.33
57,STU0833,CS101,60,47,78.33
58,STU0225,CS101,60,47,78.33
59,STU0233,CS101,60,47,78.33
60,STU0825,CS101,60,47,78.33
61,STU0241,CS101,60,47,78.33
62,STU0977,CS101,60,47,78.33
63,STU0817,CS101,60,47,78.33
64,STU0249,CS101,60,47,78.33
65,STU0033,CS101,60,47,78.33
66,STU0809,CS101,60,47,78.33
67,STU0257,CS101,60,47,78.33
68,STU0265,CS101,60,47,78.33
69,STU0801,CS101,60,47,78.33
70,STU0273,CS101,60,47,78.33
71,STU0793,CS101,60,47,78.33
72,STU0281,CS101,60,47,78.33
73,STU0785,CS101,60,47,78.33
74,STU0289,CS101,60,47,78.33
75,STU0297,CS101,60,47,78.33
76,STU0777,CS101,60,47,78.33
77,STU0305,CS101,60,47,78.33
78,STU0769,CS101,60,47,78.33
79,STU0313,CS101,60,47,78.33
80,STU0041,CS101,60,47,78.33
81,STU0761,CS101,60,47,78.33
82,STU0321,CS101,60,47,78.33
83,STU0329,CS101,60,47,78.33
84,STU0753,CS101,60,47,78.33
85,STU0337,CS101,60,47,78.33
86,STU0745,CS101,60,47,78.33
87,STU0345,CS101,60,47,78.33
88,STU0737,CS101,60,47,78.33
89,STU0353,CS101,60,47,78.33
90,STU0969,CS101,60,47,78.33
91,STU0361,CS101,60,47,78.33
92,STU0729,CS101,60,47,78.33
93,STU0369,CS101,60,47,78.33
94,STU0721,CS101,60,47,78.33
95,STU0377,CS101,60,47,78.33
96,STU0049,CS101,60,47,78.33
97,STU0713,CS101,60,47,78.33
98,STU0385,CS101,60,47,78.33
99,STU0393,CS101,60,47,78.33
100,STU0705,CS101,60,47,78.33
101,STU0401,CS101,60,47,78.33
102,STU0697,CS101,60,47,78.33
103,STU0409,CS101,60,47,78.33
104,STU0689,CS101,60,47,78.33
105,STU0417,CS101,60,47,78.33
106,STU0425,CS101,60,47,78.33
107,STU0961,CS101,60,47,78.33
108,STU0681,CS101,60,47,78.33
109,STU0433,CS101,60,47,78.33
110,STU0673,CS101,60,47,78.33
111,STU0441,CS101,60,47,78.33
112,STU0057,CS101,60,47,78.33
113,STU0665,CS101,60,47,78.33
114,STU0449,CS101,60,47,78.33
115,STU0457,CS101,60,47,78.33
116,STU0657,CS101,60,47,78.33
117,STU0465,CS101,60,47,78.33
118,STU0649,CS101,60,47,78.33
119,STU0473,CS101,60,47,78.33
120,STU0009,CS101,60,47,78.33
121,STU0641,CS101,60,47,78.33
122,STU0481,CS101,60,47,78.33
123,STU0489,CS101,60,47,78.33
124,STU0633,CS101,60,47,78.33
125,STU0497,CS101,60,47,78.33
126,STU0914,IT201,60,47,78.33
127,STU0626,IT201,60,47,78.33
128,STU0722,IT201,60,47,78.33
129,STU0874,IT201,60,47,78.33
130,STU0810,IT201,60,47,78.33
131,STU0370,IT201,60,47,78.33
132,STU0442,IT201,60,47,78.33
133,STU0258,IT201,60,47,78.33
134,STU0418,IT201,60,47,78.33
135,STU0362,IT201,60,47,78.33
136,STU0034,IT201,60,47,78.33
137,STU0466,IT201,60,47,78.33
138,STU0170,IT201,60,47,78.33
139,STU0802,IT201,60,47,78.33
140,STU0122,IT201,60,47,78.33
141,STU0266,IT201,60,47,78.33
142,STU0074,IT201,60,47,78.33
143,STU0730,IT201,60,47,78.33
144,STU0114,IT201,60,47,78.33
145,STU0354,IT201,60,47,78.33
146,STU0738,IT201,60,47,78.33
147,STU0946,IT201,60,47,78.33
148,STU0570,IT201,60,47,78.33
149,STU0274,IT201,60,47,78.33
150,STU0106,IT201,60,47,78.33
151,STU0346,IT201,60,47,78.33
152,STU0746,IT201,60,47,78.33
153,STU0794,IT201,60,47,78.33
154,STU0962,IT201,60,47,78.33
155,STU0338,IT201,60,47,78.33
156,STU0666,IT201,60,47,78.33
157,STU0282,IT201,60,47,78.33
158,STU0178,IT201,60,47,78.33
159,STU0330,IT201,60,47,78.33
160,STU0458,IT201,60,47,78.33
161,STU0018,IT201,60,47,78.33
162,STU0786,IT201,60,47,78.33
163,STU0634,IT201,60,47,78.33
164,STU0498,IT201,60,47,78.33
165,STU0290,IT201,60,47,78.33
166,STU0394,IT201,60,47,78.33
167,STU0754,IT201,60,47,78.33
168,STU0042,IT201,60,47,78.33
169,STU0322,IT201,60,47,78.33
170,STU0474,IT201,60,47,78.33
171,STU0778,IT201,60,47,78.33
172,STU0450,IT201,60,47,78.33
173,STU0298,IT201,60,47,78.33
174,STU0866,IT201,60,47,78.33
175,STU0490,IT201,60,47,78.33
176,STU0578,IT201,60,47,78.33
177,STU0562,IT201,60,47,78.33
178,STU0658,IT201,60,47,78.33
179,STU0994,IT201,60,47,78.33
180,STU0762,IT201,60,47,78.33
181,STU0306,IT201,60,47,78.33
182,STU0186,IT201,60,47,78.33
183,STU0314,IT201,60,47,78.33
184,STU0970,IT201,60,47,78.33
185,STU0770,IT201,60,47,78.33
186,STU0058,IT201,60,47,78.33
187,STU0146,IT201,60,47,78.33
188,STU0706,IT201,60,47,78.33
189,STU0682,IT201,60,47,78.33
190,STU0698,IT201,60,47,78.33
191,STU0858,IT201,60,47,78.33
192,STU0554,IT201,60,47,78.33
193,STU0426,IT201,60,47,78.33
194,STU0194,IT201,60,47,78.33
195,STU0922,IT201,60,47,78.33
196,STU0586,IT201,60,47,78.33
197,STU0026,IT201,60,47,78.33
198,STU0010,IT201,60,47,78.33
199,STU0402,IT201,60,47,78.33
200,STU0850,IT201,60,47,78.33
201,STU0890,IT201,60,47,78.33
202,STU0202,IT201,60,47,78.33
203,STU0410,IT201,60,47,78.33
204,STU0546,IT201,60,47,78.33
205,STU0098,IT201,60,47,78.33
206,STU0050,IT201,60,47,78.33
207,STU0594,IT201,60,47,78.33
208,STU0690,IT201,60,47,78.33
209,STU0482,IT201,60,47,78.33
210,STU0210,IT201,60,47,78.33
211,STU0154,IT201,60,47,78.33
212,STU0538,IT201,60,47,78.33
213,STU0386,IT201,60,47,78.33
214,STU0842,IT201,60,47,78.33
215,STU0898,IT201,60,47,78.33
216,STU0602,IT201,60,47,78.33
217,STU0530,IT201,60,47,78.33
218,STU0218,IT201,60,47,78.33
219,STU0930,IT201,60,47,78.33
220,STU0066,IT201,60,47,78.33
221,STU0002,IT201,60,47,78.33
222,STU0090,IT201,60,47,78.33
223,STU0834,IT201,60,47,78.33
224,STU0130,IT201,60,47,78.33
225,STU0522,IT201,60,47,78.33
226,STU0226,IT201,60,47,78.33
227,STU0882,IT201,60,47,78.33
228,STU0714,IT201,60,47,78.33
229,STU0642,IT201,60,47,78.33
230,STU0610,IT201,60,47,78.33
231,STU0138,IT201,60,47,78.33
232,STU0826,IT201,60,47,78.33
233,STU0434,IT201,60,47,78.33
234,STU0234,IT201,60,47,78.33
235,STU0162,IT201,60,47,78.33
236,STU0514,IT201,60,47,78.33
237,STU0978,IT201,60,47,78.33
238,STU0906,IT201,60,47,78.33
239,STU0954,IT201,60,47,78.33
240,STU0938,IT201,60,47,78.33
241,STU0618,IT201,60,47,78.33
242,STU0242,IT201,60,47,78.33
243,STU0986,IT201,60,47,78.33
244,STU0506,IT201,60,47,78.33
245,STU0378,IT201,60,47,78.33
246,STU0818,IT201,60,47,78.33
247,STU0674,IT201,60,47,78.33
248,STU0650,IT201,60,47,78.33
249,STU0082,IT201,60,47,78.33
250,STU0250,IT201,60,47,78.33
251,STU0907,EC301,60,47,78.33
252,STU0907,EC302,60,47,78.33
253,STU0643,EC301,60,47,78.33
254,STU0643,EC302,60,47,78.33
255,STU0131,EC301,60,47,78.33
256,STU0131,EC302,60,47,78.33
257,STU0899,EC301,60,47,78.33
258,STU0899,EC302,60,47,78.33
259,STU0411,EC301,60,47,78.33
260,STU0411,EC302,60,47,78.33
261,STU0139,EC301,60,47,78.33
262,STU0139,EC302,60,47,78.33
263,STU0019,EC301,60,47,78.33
264,STU0019,EC302,60,47,78.33
265,STU0891,EC301,60,47,78.33
266,STU0891,EC302,60,47,78.33
267,STU0147,EC301,60,47,78.33
268,STU0147,EC302,60,47,78.33
269,STU0691,EC301,60,47,78.33
270,STU0691,EC302,60,47,78.33
271,STU0155,EC301,60,47,78.33
272,STU0155,EC302,60,47,78.33
273,STU0883,EC301,60,47,78.33
274,STU0883,EC302,60,47,78.33
275,STU0627,EC301,60,47,78.33
276,STU0627,EC302,60,47,78.33
