internship_id,student_id,company_name,domain,start_date,end_date,status
1,STU0002,EY,Data Analytics,2025-05-15,2025-08-20,Completed
2,STU0004,IBM,Web Development,2025-05-28,2025-07-18,Completed
3,STU0008,IBM,Data Science,2025-05-07,2025-08-19,Completed
4,STU0009,Infosys,Data Analytics,2025-06-06,2025-08-27,Completed
5,STU0013,TCS,Software Development,2025-05-25,2025-08-09,Ongoing
6,STU0015,EY,Cyber Security,2025-06-17,2025-07-13,Completed
7,STU0016,Deloitte,Cyber Security,2025-06-01,2025-08-29,Completed
8,STU0018,Accenture,Web Development,2025-06-07,2025-08-10,Completed
9,STU0021,Infosys,Cloud Computing,2025-05-13,2025-08-19,Completed
10,STU0028,Capgemini,Cloud Computing,2025-06-19,2025-06-07,Completed
11,STU0031,Accenture,Cyber Security,2025-06-15,2025-07-22,Completed
12,STU0035,KPMG,Data Science,2025-06-09,2025-07-27,Completed
13,STU0037,Wipro,Web Development,2025-06-15,2025-08-17,Completed
14,STU0038,IBM,Cyber Security,2025-05-28,2025-06-21,Completed
15,STU0040,KPMG,Cloud Computing,2025-05-04,2025-07-31,Completed
16,STU0041,Deloitte,Web Development,2025-05-06,2025-07-10,Completed
17,STU0042,TCS,Software Development,2025-05-19,2025-08-10,Completed
18,STU0052,Accenture,Cloud Computing,2025-05-12,2025-07-21,Completed
19,STU0053,Wipro,Cloud Computing,2025-06-11,2025-08-15,Completed
20,STU0056,Accenture,Software Development,2025-05-12,2025-06-22,Ongoing
21,STU0062,Accenture,Software Development,2025-05-12,2025-06-15,Completed
22,STU0066,Microsoft,Machine Learning,2025-05-10,2025-07-16,Completed
23,STU0068,EY,Cyber Security,2025-05-31,2025-07-13,Completed
24,STU0070,KPMG,Machine Learning,2025-05-20,2025-07-20,Completed
25,STU0072,Deloitte,Software Development,2025-06-02,2025-06-22,Ongoing
26,STU0075,KPMG,Data Analytics,2025-05-28,2025-08-10,Completed
27,STU0076,Infosys,Machine Learning,2025-05-30,2025-07-03,Completed
28,STU0079,KPMG,Machine Learning,2025-06-11,2025-08-08,Cancelled
29,STU0085,TCS,Data Analytics,2025-05-05,2025-07-24,Completed
30,STU0088,EY,Cloud Computing,2025-05-15,2025-06-09,Completed
31,STU0092,Wipro,Software Development,2025-06-24,2025-06-22,Completed
32,STU0093,Wipro,Cloud Computing,2025-06-26,2025-07-16,Completed
33,STU0095,EY,Machine Learning,2025-06-11,2025-08-23,Completed
34,STU0106,IBM,Data Analytics,2025-05-16,2025-06-10,Completed
35,STU0110,Accenture,Data Science,2025-05-31,2025-06-05,Completed
36,STU0111,Capgemini,Data Science,2025-05-28,2025-06-04,Ongoing
37,STU0116,TCS,Cloud Computing,2025-05-19,2025-08-05,Ongoing
38,STU0120,TCS,Web Development,2025-05-18,2025-06-20,Completed
39,STU0121,Microsoft,Machine Learning,2025-05-05,2025-08-12,Cancelled
40,STU0129,Wipro,Web Development,2025-05-30,2025-07-27,Completed
41,STU0136,KPMG,Cyber Security,2025-06-03,2025-08-29,Completed
42,STU0138,Wipro,Cloud Computing,2025-05-02,2025-07-04,Ongoing
43,STU0141,EY,Web Development,2025-05-26,2025-07-16,Completed
44,STU0142,IBM,Machine Learning,2025-05-20,2025-06-02,Completed
45,STU0160,EY,Cloud Computing,2025-06-26,2025-06-12,Completed
46,STU0164,EY,Cyber Security,2025-05-12,2025-07-19,Completed
47,STU0166,Microsoft,Machine Learning,2025-06-07,2025-06-03,Completed
48,STU0167,Accenture,Web Development,2025-05-07,2025-07-20,Ongoing
49,STU0168,IBM,Cyber Security,2025-05-20,2025-06-16,Completed
50,STU0169,TCS,Web Development,2025-06-17,2025-08-21,Completed
51,STU0170,Wipro,Data Analytics,2025-05-29,2025-06-15,Completed
52,STU0173,Microsoft,Cyber Security,2025-05-31,2025-06-03,Ongoing
53,STU0174,EY,Cyber Security,2025-05-28,2025-08-10,Ongoing
54,STU0182,EY,Software Development,2025-06-07,2025-07-20,Completed
55,STU0187,Infosys,Machine Learning,2025-05-28,2025-08-27,Completed
56,STU0190,IBM,Data Science,2025-05-13,2025-07-25,Completed
57,STU0193,EY,Data Science,2025-05-01,2025-07-05,Completed
58,STU0194,Capgemini,Cyber Security,2025-06-15,2025-08-12,Completed
59,STU0197,Infosys,Machine Learning,2025-06-13,2025-08-18,Completed
60,STU0199,Microsoft,Data Science,2025-05-10,2025-06-29,Completed
61,STU0200,Capgemini,Machine Learning,2025-06-22,2025-06-14,Completed
62,STU0201,TCS,Data Analytics,2025-06-05,2025-08-15,Completed
63,STU0203,TCS,Machine Learning,2025-05-18,2025-08-15,Completed
64,STU0210,Wipro,Web Development,2025-06-20,2025-07-06,Completed
65,STU0212,TCS,Cyber Security,2025-05-21,2025-06-03,Completed
66,STU0214,EY,Software Development,2025-06-22,2025-06-08,Completed
67,STU0218,TCS,Web Development,2025-05-24,2025-06-24,Completed
68,STU0219,TCS,Cloud Computing,2025-05-16,2025-07-26,Completed
69,STU0221,Microsoft,Cloud Computing,2025-05-14,2025-07-11,Ongoing
70,STU0223,Infosys,Data Science,2025-05-07,2025-07-06,Completed
71,STU0229,Capgemini,Machine Learning,2025-06-10,2025-07-24,Completed
72,STU0231,Deloitte,Data Science,2025-05-09,2025-07-16,Completed
73,STU0244,Deloitte,Web Development,2025-05-18,2025-06-19,Ongoing
74,STU0248,KPMG,Data Science,2025-06-15,2025-08-22,Ongoing
75,STU0250,Microsoft,Software Development,2025-06-05,2025-07-21,Completed
76,STU0251,Microsoft,Software Development,2025-05-04,2025-07-21,Completed
77,STU0254,Capgemini,Cyber Security,2025-05-29,2025-07-15,Completed
78,STU0255,Wipro,Data Analytics,2025-06-07,2025-07-27,Completed
79,STU0257,TCS,Data Science,2025-05-02,2025-07-16,Completed
80,STU0262,Accenture,Data Science,2025-06-01,2025-06-06,Completed
81,STU0263,Deloitte,Web Development,2025-05-27,2025-07-27,Completed
82,STU0265,EY,Data Science,2025-06-10,2025-06-18,Ongoing
83,STU0267,Capgemini,Cyber Security,2025-05-12,2025-07-01,Completed
84,STU0269,Wipro,Software Development,2025-06-02,2025-08-24,Completed
85,STU0270,Deloitte,Cyber Security,2025-05-17,2025-06-17,Ongoing
86,STU0276,Wipro,Cloud Computing,2025-05-09,2025-07-02,Completed
87,STU0278,KPMG,Data Analytics,2025-05-22,2025-06-14,Completed
88,STU0280,Infosys,Cloud Computing,2025-05-12,2025-08-16,Ongoing
89,STU0281,Deloitte,Web Development,2025-06-25,2025-07-07,Completed
90,STU0282,Accenture,Software Development,2025-06-01,2025-07-24,Completed
