mark_id,student_id,subject_id,internal_marks,midterm_marks,final_marks,total_marks,grade
1,STU0001,CS101,14.00,25.00,40.00,79.00,B+
2,STU0625,CS101,17.00,23.00,39.00,79.00,B+
3,STU0505,CS101,15.00,24.00,38.00,77.00,B+
4,STU0953,CS101,16.00,21.00,37.00,74.00,B+
5,STU0617,CS101,14.00,25.00,39.00,78.00,B+
6,STU0513,CS101,12.00,23.00,38.00,73.00,B+
7,STU0065,CS101,17.00,21.00,37.00,75.00,B+
8,STU0521,CS101,15.00,26.00,37.00,78.00,B+
9,STU0609,CS101,15.00,26.00,35.00,76.00,B+
10,STU0529,CS101,13.00,26.00,43.00,82.00,A
11,STU0601,CS101,15.00,24.00,38.00,77.00,B+
12,STU0537,CS101,17.00,26.00,39.00,82.00,A
13,STU0593,CS101,12.00,22.00,37.00,71.00,B+
14,STU0545,CS101,12.00,25.00,40.00,77.00,B+
15,STU0553,CS101,14.00,24.00,39.00,77.00,B+
16,STU0585,CS101,13.00,22.00,34.00,69.00,B
17,STU0561,CS101,16.00,26.00,43.00,85.00,A
18,STU0577,CS101,13.00,23.00,39.00,75.00,B+
19,STU0569,CS101,17.00,23.00,44.00,84.00,A
20,STU0073,CS101,13.00,26.00,34.00,73.00,B+
21,STU0945,CS101,16.00,25.00,34.00,75.00,B+
22,STU0081,CS101,13.00,25.00,36.00,74.00,B+
23,STU0937,CS101,13.00,25.00,40.00,78.00,B+
24,STU0089,CS101,16.00,22.00,34.00,72.00,B+
25,STU0929,CS101,13.00,25.00,36.00,74.00,B+
26,STU0097,CS101,14.00,22.00,42.00,78.00,B+
27,STU0993,CS101,15.00,26.00,44.00,85.00,A
28,STU0105,CS101,12.00,22.00,35.00,69.00,B
29,STU0921,CS101,14.00,21.00,44.00,79.00,B+
30,STU0113,CS101,13.00,25.00,37.00,75.00,B+
31,STU0913,CS101,16.00,22.00,34.00,72.00,B+
32,STU0121,CS101,13.00,21.00,34.00,68.00,B
33,STU0017,CS101,16.00,21.00,38.00,75.00,B+
34,STU0905,CS101,12.00,26.00,42.00,80.00,A
35,STU0129,CS101,13.00,23.00,44.00,80.00,A
36,STU0137,CS101,15.00,22.00,41.00,78.00,B+
37,STU0897,CS101,12.00,25.00,42.00,79.00,B+
38,STU0145,CS101,15.00,23.00,34.00,72.00,B+
39,STU0889,CS101,17.00,23.00,39.00,79.00,B+
40,STU0153,CS101,14.00,25.00,35.00,74.00,B+
41,STU0881,CS101,15.00,23.00,34.00,72.00,B+
42,STU0161,CS101,16.00,24.00,39.00,79.00,B+
43,STU0169,CS101,13.00,23.00,36.00,72.00,B+
44,STU0985,CS101,17.00,26.00,39.00,82.00,A
45,STU0873,CS101,17.00,23.00,41.00,81.00,A
46,STU0177,CS101,14.00,25.00,39.00,78.00,B+
47,STU0865,CS101,15.00,22.00,41.00,78.00,B+
48,STU0185,CS101,17.00,24.00,34.00,75.00,B+
49,STU0025,CS101,14.00,25.00,40.00,79.00,B+
