placement_id,student_id,company_name,job_role,package_lpa,placement_date,status
1,STU0004,Amazon,Business Analyst,5.96,2025-11-08,Placed
2,STU0006,Capgemini,Data Analyst,9.88,2025-07-29,Placed
3,STU0010,IBM,Data Scientist,10.85,2025-10-31,Placed
4,STU0012,Microsoft,Cloud Engineer,9.44,2025-08-26,Placed
5,STU0014,Amazon,System Engineer,6.21,2025-11-07,Placed
6,STU0017,TCS,System Engineer,13.67,2025-07-18,Placed
7,STU0019,Wipro,Data Analyst,5.59,2025-09-01,Placed
8,STU0023,Capgemini,Software Developer,7.39,2025-09-18,Placed
9,STU0027,Microsoft,Web Developer,6.32,2025-10-06,Placed
10,STU0028,Infosys,Web Developer,12.75,2025-08-25,Offer Received
11,STU0029,Cognizant,System Engineer,8.31,2025-12-24,Placed
12,STU0030,HCL Technologies,Cyber Security Analyst,6.15,2025-09-27,Placed
13,STU0031,HCL Technologies,Business Analyst,13.63,2025-10-15,Placed
14,STU0032,Cognizant,Cloud Engineer,15.24,2025-10-09,Placed
15,STU0034,HCL Technologies,Business Analyst,5.30,2025-09-01,Offer Received
16,STU0035,HCL Technologies,Data Scientist,8.99,2025-11-29,Placed
17,STU0036,Microsoft,Cloud Engineer,6.39,2025-09-14,Placed
18,STU0037,Tech Mahindra,Cloud Engineer,15.09,2025-10-03,Placed
19,STU0042,Infosys,Cyber Security Analyst,5.61,2025-12-25,Placed
20,STU0044,TCS,Cloud Engineer,14.42,2025-10-30,Placed
21,STU0045,Amazon,Cyber Security Analyst,10.09,2025-07-31,Placed
22,STU0047,IBM,Web Developer,5.25,2025-10-07,Placed
23,STU0050,Cognizant,Business Analyst,4.90,2025-07-30,Placed
24,STU0051,Wipro,Web Developer,4.27,2025-12-17,Placed
25,STU0053,Tech Mahindra,Web Developer,7.33,2025-10-25,Placed
26,STU0055,Cognizant,Web Developer,13.10,2025-12-06,Placed
27,STU0056,Infosys,Software Developer,6.44,2025-11-01,Placed
28,STU0057,IBM,Data Analyst,7.93,2025-11-07,Not Selected
